41			2.08317e-18
42			2.13615e-18
43			2.03021e-18
43.5			1.73435e-18
44			1.55698e-18
44.5			1.44147e-18
44.7			1.24856e-18
44.8			9.89010e-19
44.85			8.07329e-19
44.87			9.21466e-19
44.89			1.44009e-18
44.9			1.72294e-18
45			2.19188e-18
45.1			2.30664e-18
45.2			2.70697e-18
45.3			2.13643e-18
45.4			1.78368e-18
45.5			1.78193e-18
45.6			1.95923e-18
45.7			2.05439e-18
45.8			1.69190e-18
46			2.03214e-18
46.1			1.89251e-18
46.3			1.56370e-18
46.5			1.51181e-18
46.75			1.09678e-18
46.8			1.11663e-18
46.85			8.09280e-19
46.89			1.92470e-18
46.9			2.32738e-18
47			2.54473e-18
47.05			1.95725e-18
47.1			1.53196e-18
47.2			1.83345e-18
47.3			1.53805e-18
47.5			1.14090e-18
47.55			1.62578e-18
47.6			2.20288e-18
48			1.42552e-18
48.5			1.40585e-18
48.8			1.38277e-18
48.9			1.35306e-18
48.95			1.21144e-18
49			1.12345e-18
49.2			1.22150e-18
49.5			1.35999e-18
50			1.29553e-18
50.5			1.28643e-18
51			1.14784e-18
52			1.25804e-18
53			1.17330e-18
54			1.13475e-18
55			1.08949e-18
60			9.51554e-19
70			8.73349e-19
80			8.35623e-19
100			7.08438e-19
130			6.06136e-19
150			5.67120e-19
170			5.22896e-19
200			4.68609e-19
250			3.96942e-19
300			3.45090e-19
400			2.78801e-19
500			2.41469e-19
600			2.05951e-19
700			1.68951e-19
1000			1.27704e-19
